force,time,speed,gradtient,bw
2.2528328611898,285.5,12,-15,100
2.34560906515581,273,15,-15,100
2.05235602094241,208.5,12,0,60
2.07198952879581,181,15,0,60
1.85078534031414,168,18,0,60
2.13743455497382,156.5,21,0,60
2.17473821989529,159,24,0,60
1.95549738219895,212,12,5,60
1.93651832460733,195.5,15,5,60
1.84685863874346,164,18,5,60
2.04319371727749,163,21,5,60
2.15575916230366,147.5,24,5,60
1.72185863874346,202,12,10,60
2,141,15,10,60
1.75523560209424,185.5,18,10,60
1.97578534031414,165,21,10,60
2.12434554973822,156,24,10,60
1.82068062827225,220.5,12,15,60
1.87630890052356,211.5,15,15,60
1.96073298429319,185,18,15,60
1.99083769633508,162.5,21,15,60
2.1413612565445,150,24,15,60
2.16492146596859,214,12,0,80
2.1151832460733,207.5,15,0,80
2.22513089005236,182,18,0,80
2.43062827225131,172.5,21,0,80
2.62303664921466,155,24,0,80
1.99476439790576,217,12,5,80
2.2434554973822,197,15,5,80
2.18848167539267,179.5,18,5,80
2.24607329842932,169.5,21,5,80
2.47316753926702,150.5,24,5,80
1.92146596858639,219,12,10,80
2.04384816753927,212.5,15,10,80
2.16361256544503,179.5,18,10,80
2.17866492146597,188.5,21,10,80
2.125,174,24,10,80
1.92146596858639,236.5,12,15,80
2.05235602094241,219.5,15,15,80
2.1020942408377,192.5,18,15,80
2.0955497382199,180,21,15,80
2.20418848167539,157.5,24,15,80
2.21596858638743,228,12,0,100
2.39267015706806,210.5,15,0,100
2.45811518324607,191.5,18,0,100
2.4869109947644,177,21,0,100
2.78272251308901,162.5,24,0,100
2.17997382198953,236,12,5,100
2.24083769633508,204.5,15,5,100
2.37041884816754,188,18,5,100
2.50130890052356,185.5,21,5,100
2.4934554973822,154,24,5,100
2.10994764397906,241,12,10,100
2.18324607329843,224,15,10,100
2.22643979057592,183,18,10,100
2.44895287958115,178.5,21,10,100
2.42473821989529,168.5,24,10,100
2.07853403141361,248.5,12,15,100
2.25392670157068,210,15,15,100
2.18717277486911,201.5,18,15,100
2.2565445026178,174,21,15,100
2.40575916230366,166,24,15,100
1.65052356020942,205.5,12,-5,60
1.72513089005236,184.5,15,-5,60
1.95549738219895,210.5,12,-10,60
1.95222513089005,186.5,15,-10,60
2.02159685863874,206.5,12,-15,60
1.99149214659686,188,15,-15,60
1.90641361256545,232,12,-5,80
1.9738219895288,205,15,-5,80
2.04777486910995,219,12,-10,80
2.0261780104712,200,15,-10,80
2.03664921465969,212.5,12,-15,80
2.09358638743455,202.5,15,-15,80
2.14594240837696,239,12,-5,100
2.30039267015707,211.5,15,-5,100
2.25523560209424,229.5,12,-10,100
2.31609947643979,209,15,-10,100
2.27028795811518,227.5,12,-15,100
2.41099476439791,214,15,-15,100
1.73821989528796,212.5,12,0,60
1.69895287958115,196.5,15,0,60
1.87565445026178,178,18,0,60
1.75916230366492,167,21,0,60
1.81348167539267,153.5,24,0,60
1.64005235602094,217,12,5,60
1.73821989528796,196.5,15,5,60
1.8979057591623,187,18,5,60
1.72120418848168,163,21,5,60
1.92408376963351,160,24,5,60
1.66034031413613,231,12,10,60
1.80759162303665,200.5,15,10,60
1.69895287958115,186,18,10,60
1.80366492146597,163,21,10,60
1.84031413612565,159,24,10,60
1.68848167539267,243,12,15,60
1.71727748691099,225,15,15,60
1.67146596858639,185,18,15,60
1.80104712041885,177,21,15,60
1.80824607329843,161.5,24,15,60
1.99541884816754,218.5,12,0,80
2.04973821989529,221.5,15,0,80
2.03795811518325,194.5,18,0,80
2.10471204188482,182.5,21,0,80
2.14659685863874,173.5,24,0,80
2.0130890052356,238.5,12,5,80
2.07722513089005,232.5,15,5,80
2.00785340314136,200.5,18,5,80
2.10013089005236,184.5,21,5,80
2.0229057591623,167,24,5,80
1.87434554973822,240,12,10,80
2.00850785340314,229,15,10,80
1.94960732984293,200.5,18,10,80
1.95811518324607,181.5,21,10,80
2.07591623036649,157,24,10,80
NaN,NaN,12,15,80
2.01701570680628,215,15,15,80
2.06282722513089,199,18,15,80
2.09816753926702,179.5,21,15,80
2.05170157068063,170.5,24,15,80
2.06806282722513,255,12,0,100
2.18979057591623,223,15,0,100
2.26439790575916,195.5,18,0,100
2.30104712041885,192,21,0,100
2.27356020942408,168.5,24,0,100
2.06282722513089,236.5,12,5,100
2.17081151832461,225,15,5,100
2.2270942408377,207.5,18,5,100
2.32329842931937,180,21,5,100
2.29384816753927,173,24,5,100
2.07002617801047,242,12,10,100
2.11125654450262,225,15,10,100
2.22774869109948,205.5,18,10,100
2.22120418848168,179,21,10,100
2.12958115183246,165.5,24,10,100
2.03272251308901,235.5,12,15,100
2.17408376963351,229.5,15,15,100
2.18062827225131,206,18,15,100
2.31609947643979,189.5,21,15,100
2.29973821989529,165.5,24,15,100
1.65903141361257,227,12,-5,60
1.77094240837696,197.5,15,-5,60
1.68848167539267,217.5,12,-10,60
1.59162303664921,196.5,15,-10,60
1.72316753926702,232.5,12,-15,60
1.96073298429319,197.5,15,-15,60
1.83507853403141,245,12,-5,80
1.99738219895288,213.5,15,-5,80
1.96073298429319,225.5,12,-10,80
1.8717277486911,216,15,-10,80
2.08704188481675,205.5,12,-15,80
2.04777486910995,198.5,15,-15,80
2.09751308900524,244.5,12,-5,100
2.17015706806283,219,15,-5,100
2.09424083769634,233,12,-10,100
2.05628272251309,225.5,15,-10,100
2.15706806282722,224.5,12,-15,100
2.22643979057592,224,15,-15,100
1.60917312661499,231,12,0,60
1.69573643410853,222,15,0,60
1.76550387596899,190,18,0,60
1.77906976744186,179.5,21,0,60
1.86757105943152,158.5,24,0,60
1.62919896640827,185,12,5,60
1.71447028423773,200.5,15,5,60
1.81201550387597,206,18,5,60
1.83397932816537,164,21,5,60
1.78165374677003,159,24,5,60
1.51937984496124,210.5,12,10,60
1.84043927648579,227,15,10,60
1.89341085271318,181.5,18,10,60
1.86434108527132,176,21,10,60
1.77196382428941,147.5,24,10,60
